38,107,15,16,15,11,7,1.0
46,111,14,12,13,7,9,1.0
41,110,10,17,11,12,6,1.0
44,108,16,17,15,13,10,1.0
50,109,11,14,13,10,7,1.0
40,100,10,14,13,9,8,1.0
41,108,11,13,13,11,7,1.0
43,111,16,19,17,12,10,1.0
42,105,15,17,16,11,10,1.0
43,105,15,12,20,3,77,2.0
43,104,16,13,20,1,77,2.0
44,107,14,17,20,9,77,2.0
42,105,14,12,17,4,74,2.0
43,110,16,16,20,7,77,2.0
42,112,15,19,19,8,77,2.0
39,106,10,13,17,1,73,2.0
40,113,12,17,17,6,77,2.0
40,104,12,11,15,0,76,2.0
42,110,15,16,19,6,77,2.0
34,105,15,15,12,7,1106,2.0
44,113,15,13,11,4,1103,2.0
44,105,13,14,11,6,1106,2.0
44,106,16,16,13,8,1104,2.0
40,104,13,17,9,9,1103,2.0
44,107,16,15,13,5,1106,2.0
44,110,17,18,13,10,1106,2.0
40,104,15,16,12,9,1106,2.0
43,108,16,15,13,3,1107,2.0
43,111,16,16,14,8,1107,2.0
39,111,13,17,9,7,210,2.0
38,110,14,16,13,6,215,2.0
41,105,10,14,9,1,214,2.0
45,107,15,15,14,7,216,2.0
44,105,15,15,12,5,213,2.0
43,114,14,18,13,6,217,2.0
35,102,15,13,12,3,216,2.0
39,106,13,14,10,6,211,2.0
45,108,16,16,13,5,214,2.0
36,106,7,17,6,7,209,2.0
73,11,104,60,27,19,7,1.0
76,15,106,63,27,20,8,1.0
74,14,104,62,24,18,5,1.0
77,13,107,60,30,18,7,1.0
72,15,100,60,20,19,1,1.0
76,14,108,62,27,19,8,1.0
75,13,106,62,28,18,8,1.0
73,14,107,62,28,18,6,1.0
76,10,107,57,29,15,7,1.0
77,10,106,61,27,17,8,1.0
32,10,11,16,11,6,512,1.0
38,10,16,15,13,6,518,1.0
39,10,17,16,13,7,518,1.0
33,12,16,16,15,7,518,1.0
35,8,15,14,13,1,515,1.0
36,11,16,15,13,6,517,1.0
33,7,12,11,10,3,515,1.0
30,7,11,11,11,2,512,1.0
34,10,17,13,13,4,518,1.0
32,9,16,15,13,4,517,1.0
25,9,15,14,17,57,8,1.0
33,7,14,13,13,58,7,1.0
32,8,11,11,13,58,6,1.0
31,9,16,18,17,63,7,1.0
35,12,16,16,16,61,8,1.0
34,10,14,12,16,59,5,1.0
33,9,13,14,15,59,7,1.0
35,9,15,13,17,60,8,1.0
34,9,14,15,17,59,7,1.0
34,12,14,18,17,64,9,1.0
12,66,17,27,13,8,201,1.0
8,66,13,25,9,3,198,1.0
12,64,17,26,14,5,202,1.0
8,67,18,26,13,6,199,1.0
8,66,16,24,11,2,200,1.0
11,62,16,29,13,8,201,1.0
5,64,12,29,7,8,197,1.0
11,64,17,28,14,6,202,1.0
10,61,16,21,11,3,202,1.0
9,59,17,21,13,0,202,1.0
1,62,15,28,12,7,200,1.0
11,67,18,29,14,6,202,1.0
11,66,17,27,9,7,201,1.0
12,68,17,27,12,6,201,1.0
11,66,17,28,13,6,201,1.0
8,66,13,28,9,7,200,1.0
8,64,15,28,14,7,201,1.0
6,63,12,27,8,7,197,1.0
10,65,17,26,12,5,202,1.0
6,63,12,26,5,7,196,1.0
13,143,18,29,16,8,104,1.0
11,143,18,28,15,6,106,1.0
9,145,16,26,12,5,103,1.0
7,142,13,28,11,5,101,1.0
11,142,17,28,15,7,104,1.0
13,140,17,28,15,7,105,1.0
10,139,18,28,16,6,105,1.0
10,141,16,28,15,8,105,1.0
12,139,18,26,15,7,105,1.0
11,137,18,27,16,6,104,1.0
12,76,15,26,18,7,85,1.0
14,75,17,26,18,6,86,1.0
2,73,14,21,13,3,81,1.0
2,73,17,26,18,7,83,1.0
11,74,10,26,14,6,82,1.0
13,70,17,23,16,2,86,1.0
5,70,16,23,19,3,85,1.0
7,74,12,27,14,7,82,1.0
11,69,16,23,17,3,86,1.0
5,67,18,26,19,7,87,1.0
